LFQ.intensity.1G_A_01	LFQ.intensity.1G_A_02	LFQ.intensity.1G_A_03	LFQ.intensity.1G_B_01	LFQ.intensity.1G_B_02	LFQ.intensity.1G_B_03	LFQ.intensity.1G_C_01	LFQ.intensity.1G_C_02	LFQ.intensity.1G_C_03	LFQ.intensity.DLN_A_01	LFQ.intensity.DLN_A_02	LFQ.intensity.DLN_A_03	LFQ.intensity.DLN_B_01	LFQ.intensity.DLN_B_02	LFQ.intensity.DLN_B_03	LFQ.intensity.DLN_C_01	LFQ.intensity.DLN_C_02	LFQ.intensity.DLN_C_03
A0A096LP92;A0A096LNY5;A0A1B0GWF8;A0A1B0GTG9;A0A1B0GWJ0;A0A1B0GTJ7;A0A096LNY6;A0A7P0T9A7;A0A7P0Z472;P30566;A0A7P0T8E4;A0A0A6YY92	23.293757887276	22.8471850729416	22.5627427141651	23.2558031315947	23.1121461189821	22.8961889953744	22.8552312083967	23.0988462023616	22.9734390439051	23.0695905592156	23.0703453554581	23.1237993957353	22.9817266289595	23.0995478232461	22.9194944051972	22.882820641125	22.8954495499104	23.0440337362595
C9JFE4;A0A096LP07;A0A096LPJ3;A8K070;Q13098;J3QS88;J3KTB0;J3QLT0;J3KSA5;J3KRJ4	23.3731848387307	23.5563671488545	23.5601088885869	23.5323140672863	23.9452987971297	23.7937223648071	23.6785262117378	23.4182829423549	23.6203084373387	23.384788259199	23.4760539555603	23.325808304234	23.2601178443339	23.4037941198143	23.2836208256667	23.2262040207655	23.2189078774111	23.5912648351332
A0A096LP25;E9PG46;Q2M2I8	22.4433471302622	22.2859360953305	22.5432603205328	22.1056873150595	22.2980446628343	22.1847107218884	22.0119192436182	21.9972787333894	22.1815599376824	22.2557455148276	22.2448434488889	21.9608094084142	22.1136251783344	22.0398922893494	22.0840765176891	22.6594236928214	22.2095462764089	21.8611702245606
A0A096LPI6;P0DPI2;A0A0B4J2D5;A0A096LNJ1;A0A096LP73;A0A2R8Y6K9;A0A096LNH5;H7C1F6;A0A2R8YDR7;H7C2G3;F2Z2Q0;A0A096LP12	24.395044365798	24.4372054810869	24.4138360442898	24.234873769636	24.087155910621	24.2222004823753	24.2148977373758	24.7091986899216	24.1232891245882	24.3815108922091	24.3576244671425	24.3187925650206	24.4069129064668	24.3427058106554	24.3442839651763	24.3553559992178	24.3482056712983	24.2500300344918
A0A0A0MR85;Q03013;B9ZVX7;A6NNT0	25.6261977376422	25.7439465884735	25.654823815227	25.6593149733357	25.3634254967488	25.3923766491121	25.6578640234771	25.705670989574	25.6784239140453	25.7760044405783	25.9022842041444	25.6788753992453	25.9649254917129	26.1413533268311	25.8946172821426	26.0129934196276	26.1274279501012	25.9207875822087
A0A0A0MRA5;B7Z4B8;Q9BUJ2;M0R3F1;M0QYZ0	25.578307267632	25.6859750929731	25.6082873134426	25.452650723458	25.5096921407533	25.4965258947818	25.8009218148167	25.6241073577021	25.5808678653515	25.4390460988411	25.3805355764223	25.630426004376	25.5165310700453	25.5505413088112	25.6339767775114	25.6512174968839	25.3566921371862	25.2312161992151
A0A0A0MRI2;Q9UNH7;G3V5X9	23.5017886019506	23.9594303446787	23.9648153530721	23.6025221776936	23.9865906453864	23.6805664194223	24.0399257474146	24.147014203899	24.1355527351802	23.8032151148834	23.8372082871052	23.6449344619095	23.9083904216849	24.0561448530024	24.0696457781606	23.8009464933555	23.885113192849	23.6733591145891
A0A0A0MRJ6;P22061;F6S8N6;A0A3F2YNX8	24.6830322904897	24.7096719891902	24.6594890238874	24.7866114364653	24.8441705351845	24.6149843163546	24.8670283171295	24.8458460559685	24.9054094088573	24.7794652852446	24.6032016259201	24.7196800106128	24.8962444385088	24.6852800630154	24.7368610249249	24.9237025097561	24.9303056585593	24.7591843831459
A0A0A0MRN7;Q6YP21	23.2771068793942	23.3387853390285	23.103287808412	23.4474576011094	23.245260500568	23.335790500163	23.1464860173122	22.8187428715579	23.4573868913582	23.4230745146805	23.1048559379572	23.3997608590781	23.5342154778295	23.5206129260919	23.6993292884192	23.5689469641965	23.5441569760229	23.4779074460823
B6VEX4;A0A0A0MRT6;Q8IZP0	22.2985416660171	22.3664502887313	22.0826934453571	22.0277966826279	22.1075082747302	21.6327627306495	21.7211309048937	21.9368607551533	21.543024265909	22.174156195129	22.1492614584985	22.0933519999416	22.142269131954	22.2047263517001	21.932073424244	22.0035371271256	22.1183543416423	21.8805057572811
A0A0A0MS29;Q9GZY8;H7C433	22.7692446144501	22.7529893198735	22.7506734070278	22.883543675102	22.8798494436819	23.0883858297415	23.3113281387721	22.9470357082257	22.9846622566087	22.5654414720233	22.5934183727629	22.5594321749825	22.6388724775715	22.3708725500978	22.2418796030495	22.4611146906228	22.2309304669757	22.5571054289808
A0A0A0MS51;A0A0A0MT01;P06396	24.9474407511873	24.9744317455713	24.9404677413808	25.1025351411075	24.9623460413167	25.187446921907	25.0662002407718	25.043601405558	25.2058675090412	25.299254141759	25.4525250504214	25.3968900829047	25.3905410755858	25.3142012412367	25.2876419337358	25.5341857875537	25.4488442625338	25.2430353553906
A0A1W2PNM1;A0A0A0MSE2;A0A0D9SFP2;E9PF18;Q16836;A0A1W2PQV5;A0A804HKJ2;A0A1W2PQC2;A0A1W2PQ78;A0A1W2PRT2;A0A804HLB5;A0A804HJW7	25.0973599437481	25.0054744707992	25.073287451142	24.5671488517407	24.6830858496025	24.7803166839361	24.4647581139245	24.7468878151015	24.6236051334192	24.9381807738622	24.9478420137753	25.1428144417845	25.0682111374834	25.000110408637	25.0820063915103	24.9170689996291	24.8760522404729	24.7007055523673
A0A0A0MSJ0;Q86XP3	22.5041739090722	22.3058847336963	22.4514658597212	22.4090760681799	22.4109303318001	22.2598305979336	22.5221912300994	22.5683798109828	22.5080782466222	22.5434963365395	22.5425890537981	22.6026580929406	22.6821170652517	22.5466552315005	22.6221421066498	22.7393356310906	22.635792574118	22.5206848552465
S4R3Z2;A0A0A0MSS8;P42330	21.8144237267113	21.849515946927	21.7861365469852	21.6792996826188	21.2885011377435	21.4371038613756	20.9974854874024	21.1895446853349	21.5293307957562	22.2724156463746	22.3904229944987	22.0792985702309	21.6590098606876	21.7357047545073	22.3495965592507	22.1521152217759	22.3464076843957	22.1786150104934
C9JRP1;A0A0A0MST8;E9PFN4;Q9Y6M7;H7C3C4	21.5903969936678	22.8166938518194	22.3028702506395	22.0716600638456	22.1795247238394	22.1316334308385	22.0531476719992	22.3016491320559	22.2052038083845	22.6765907183614	22.6228123793997	22.4021574928385	22.4849229858459	22.2888953551866	22.5619274413769	22.7695319886271	22.2290534850347	22.4405802672228
A0A0A0MT32;P38571;Q5T073	25.1221834295337	25.3324480056064	25.1048159558313	25.2943540350147	24.8213341258308	25.1101637112071	25.3387853390285	25.2068736635229	25.1851040865212	24.6900316579717	24.5973024164638	24.9427510893239	25.1166818629242	25.3220642987172	24.0780608763014	25.255875149318	24.9102675897724	25.0411733159003
A0A0S2Z4K7;A0A0A0MT83;P26440;H7C4G6	22.3068736363456	22.2835819733777	22.5558360713089	21.7146899179008	21.8108430307764	22.0321762478097	22.717495700058	22.2621843318345	22.1924674089245	22.1930759299017	22.2128042792892	22.211043894859	22.5605054352429	22.3190779896192	22.1077636641876	22.2966801810336	22.246439077861	22.1236364538038
