logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval	Gene.name	significant
0.641441019877725	25.4887830230777	8.69465106682635	2.25029903787843e-08	7.56566055838439e-07	9.34996926726904	A0A0C4DGL3;H0YNW5;H0YKC5;P33316;H0YMP1;H0YMM5;H0YNJ9;H0YKI0	4	8.55308825154442	9.15966202384565e-09	2.79083452289047e-07	DUT	FALSE
-0.437440515475721	24.7990743937525	-7.75029115953648	1.43665415557446e-07	3.59163538893616e-06	7.48205964166093	P11047	9	-8.44032224384526	1.16768528465947e-08	3.50305585397842e-07	LAMC1	FALSE
-0.425137668455196	29.2538499547446	-7.19886806768544	4.48095560710182e-07	9.39555207940705e-06	6.33499208641019	P00558	17	-8.42915716761369	1.19620618999306e-08	3.53424556134313e-07	PGK1	FALSE
0.394083612416743	27.1825625996709	7.55366434411326	2.14523039056991e-07	4.86418518792014e-06	7.07778961838405	H7C4K3;A0A7I2V2F9;E7EUI6;P05556;A0A7I2V348;C9JPK5;A0A7I2V5Z8;A0A7I2V5T3	10	8.39747415465894	1.28110543476933e-08	3.68288601971228e-07	ITGB1	FALSE
-0.366610481901184	27.5237277346018	-7.3929707820951	2.98848459777644e-07	6.54780333220682e-06	6.74347917811011	P30041	11	-8.39632869028334	1.28428845815608e-08	3.68288601971228e-07	PRDX6	FALSE
-0.795283637427517	24.6928656147889	-8.47491288584389	3.42786200916132e-08	1.06100490759755e-06	8.92618532447115	Q9Y3Z3;A0A2R8YCS7;A0A2R8YD90	3	-8.37521821037134	1.34442897072695e-08	3.79947317814138e-07	SAMHD1	FALSE
0.800187885268631	24.7249673442765	8.81597710192348	1.78846850904234e-08	6.22770284398673e-07	9.58116717500733	C9JJT5;C9JU26;G3V325;P56134	2	8.32338139745203	1.50470323799258e-08	4.19167330583647e-07	ATP5J2-PTCD1;ATP5J2	FALSE
0.739367713138051	25.7433476917144	9.00737438431414	1.24959940197872e-08	4.68330539206216e-07	9.94188823176725	P46783;A0A2R8Y6L3;F6U211;A0A2R8Y7H1;A0A2R8YFH6;Q9NQ39	2	8.29499989444361	1.60065340100858e-08	4.39616074924892e-07	RPS10;RPS10P5	FALSE
0.612912219672289	24.3200419569632	8.33077830244633	4.53319804242429e-08	1.3393539670799e-06	8.64465231468045	I3L1P8;Q02978	4	8.19146135738548	2.00738509920575e-08	5.43666797701558e-07	SLC25A11	FALSE
0.409659890101629	26.5185505082488	8.19592415907583	5.90263891793419e-08	1.69266851323113e-06	8.37868197560193	P45880;A0A0A0MR02;Q5JSD2;Q5JSD1	6	8.17692767763114	2.07244665994237e-08	5.53598765327071e-07	VDAC2	FALSE
0.550421867155094	31.2524797019456	9.01560188775389	1.2306163811271e-08	4.68330539206216e-07	9.95728507441269	A0A0U1RR32;A0A0U1RRH7;Q99878;Q96KK5;Q9BTM1;Q16777;Q6FI13;P20671;P0C0S8;H0YFX9;A0A3B3IS11	3	8.09326186253859	2.49153201714407e-08	6.56552355869047e-07	HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST2H2AA3;HIST1H2AD;HIST1H2AG	FALSE
-0.338049270229277	26.1869667395994	-6.87859934061866	8.83933152963478e-07	1.67346567794057e-05	5.64996104800365	O15460	13	-8.05592794067113	2.70575056301392e-08	7.0349514638362e-07	P4HA2	FALSE
-0.539775852697041	23.9164875045671	-7.96569676977804	9.31507141904225e-08	2.52283184265728e-06	7.91885915945237	Q14258;A0A3B3IUA7	5	-7.99540835566303	3.09404476070759e-08	7.93866747813131e-07	TRIM25	FALSE
-0.263887731944479	27.8402422634773	-6.0337136364059	5.6562467153506e-06	7.35312072995578e-05	3.78020249584739	P21980	19	-7.84676832477958	4.3098634529592e-08	1.09145892639876e-06	TGM2	FALSE
0.546128697407894	23.670302362239	8.64348398818995	2.48061273458013e-08	8.06199138738543e-07	9.25187201386691	Q16795;A0A3B3ISG8	3	7.83843624543576	4.39106352118505e-08	1.09776588029626e-06	NDUFA9	FALSE
-0.59340773659865	24.7146426184394	-7.22415589345409	4.24939773383988e-07	9.00687563150845e-06	6.3884980909574	A0A6Q8PGW4;A0A6Q8PGI6;A0A6Q8PGA8;A0A6Q8PHH9;A0A6Q8PGZ8;P41250;A0A6Q8PHI7;H7C443;A0A6Q8PFZ6	9	-7.81484973326585	4.62954755822456e-08	1.14273642259973e-06	GARS	FALSE
-0.661639351778629	24.165460545664	-8.56879314413548	2.86152839211788e-08	9.14750879447519e-07	9.10804064350521	Q8IV08	2	-7.75767447485734	5.26440871058414e-08	1.28319962320488e-06	PLD3	FALSE
-0.791795536473696	21.3485420933532	-7.75662261460548	1.41834839979612e-07	3.59163538893616e-06	7.49498931576058	K7EML3;Q9NUL5	1	-7.73425747314331	5.54960683411833e-08	1.33601646006552e-06	C19orf66	FALSE
-0.601590461215491	22.9687048402312	-8.91110949169081	1.49566162808931e-08	5.40100032365584e-07	9.76107102740564	A0A0C4DFZ2;P15289	2	-7.72821427203864	5.62574929463475e-08	1.33783062494363e-06	ARSA	FALSE
0.562134750240865	25.3750000205847	7.89090799825173	1.08196129209191e-07	2.85111421564761e-06	7.76792357251231	P26006	4	7.71692961717159	5.77081506711002e-08	1.35579390130898e-06	ITGA3	FALSE
0.825081785260345	23.7658142215677	7.63269292603187	1.82481782365352e-07	4.33950580015166e-06	7.24091026983336	Q96QD8	1	7.66913463963639	6.42907023611365e-08	1.49246273338353e-06	SLC38A2	FALSE
