LFQ.intensity.1G_A_01	LFQ.intensity.1G_A_02	LFQ.intensity.1G_A_03	LFQ.intensity.1G_B_01	LFQ.intensity.1G_B_02	LFQ.intensity.1G_B_03	LFQ.intensity.1G_C_01	LFQ.intensity.1G_C_02	LFQ.intensity.1G_C_03	LFQ.intensity.DLN_A_01	LFQ.intensity.DLN_A_02	LFQ.intensity.DLN_A_03	LFQ.intensity.DLN_B_01	LFQ.intensity.DLN_B_02	LFQ.intensity.DLN_B_03	LFQ.intensity.DLN_C_01	LFQ.intensity.DLN_C_02	LFQ.intensity.DLN_C_03
A0A2R8Y5J0;A0A2R8Y425;A0A0C4DGG9;Q14839;A0A2R8Y521;A0A2R8Y212;F5GWX5;A0A2R8YFD8;A0A2U3TZM0;A0A2R8YFK9;A0A2R8Y445;A0A2R8YDJ9;A0A2R8YD40;A0A2R8YER1;A0A2R8Y4X2;A0A2R8YDW2;A0A2R8Y8C1;A0A2R8Y685;A0A2R8Y5Z7;A0A2R8Y8B3	23.0415976621235	22.7880364288336	22.881439625134	22.6165892251784	22.6692120708638	22.6200622799233	22.7288513785514	22.4169181071898	22.8179821467596	22.6452863763024	22.9549836207233	22.7858435494923	23.010588202359	22.7928689163446	23.0319071196679	22.7622701024746	22.7654301771217	22.7348576113768
A0A0C4DGH0;Q5ZPR3	24.52605740344	24.3811299439374	24.5812989795881	24.6557276736688	24.5472202741165	24.6318418130484	24.3012444274823	24.3471920444451	24.0707924644122	24.7004409881663	24.5115934220287	24.5947423780611	24.5324924310178	24.5319572736549	24.7793149862456	24.395648661403	24.1848771584766	24.5721316588432
A0A0C4DGL3;H0YNW5;H0YKC5;P33316;H0YMP1;H0YMM5;H0YNJ9;H0YKI0	25.8220882218099	25.8642912022994	26.0577774338866	25.6628061282112	25.5246832658088	25.7410601884774	25.6699581218795	25.7806921413334	26.1621750934429	25.0153350774066	25.1433206164211	25.156496359075	25.1716157081689	25.3317990737462	25.1910670483275	25.0653786604302	25.1718065635675	25.2657435111064
K7ELJ7;A0A0C4DGQ5;P04632;A0A075B7C0;K7EKD8;U3KQE2;K7EM73;K7EIV0	25.6881115489422	25.4542834775036	25.5520083569759	25.2150459112619	24.983636616568	24.996494521814	25.145693374677	25.2298969626307	25.0438516779224	25.5330273899415	25.6023522656266	25.5458661559595	25.4844681722645	25.422395384237	25.4529962678719	25.3839333757729	25.3503319724067	25.4938720587096
P39656;A0A0C4DGS1	26.2956857104773	26.4894534342707	26.3901966453976	26.3461438813216	26.0446230778485	26.0097300537634	25.8794918264352	25.9931287784321	25.9275052728288	26.1325162030976	25.8780187221884	25.9061896533828	25.9279573157718	25.7681996737524	25.8648107094807	25.5999146577554	25.7039293351434	25.6074691632142
B4DLR2;A0A0D9SEN1;Q12884	24.473021457307	24.5495134867448	24.4153843465884	24.3329259792145	24.4939941812848	24.0699734958156	24.4478989561501	24.3409595054619	24.3595769244367	24.6862423230554	24.5752516253058	24.4972266685137	24.6859750929731	24.7496521879651	24.7493452968683	24.7297746502951	24.8688187877062	24.7750499947566
O00571;A0A0D9SG12;A0A0D9SF53;A0A2R8YF78;A0A2R8YFS5;A0A2R8Y4A4;A0A0D9SFB3;A0A2R8Y5G6;A0A2R8Y7T2;A0A2U3TZJ9;A0A2R8YDT5;A0A2R8YFR4;A0A2R8Y645;A0A2R8YCW1;F6S8Q4;A0A2R8YDH3;O15523	25.2576744250006	25.3454334024221	25.3012095338412	25.1935506263085	25.267030387018	25.4315101015269	25.1691705265075	25.4272637319482	25.1949035053207	25.1851040865212	25.1515888997705	25.1332024304938	25.1111592363304	25.1260890584396	25.1302198707267	25.1164042499679	25.2035544210739	25.2283563270478
A0A0D9SF54;A0A0D9SGF6;Q13813	25.0885314086471	24.9523818735766	24.9942515655776	25.1122734095197	25.10185419945	25.0918837439897	24.8838089353294	25.0590780426761	25.0811531224823	25.0269022914941	25.123881112823	25.0382937629442	25.0992476311855	25.1173162062979	25.1782046725404	25.2323512426406	25.1352004334767	25.118465243234
A0A0G2JIW1;P0DMV9;P0DMV8;V9GZ37	26.1647280440414	26.1842718424596	26.2490897203259	26.2763793165195	26.2807568964281	26.4107829596293	26.5048370470002	26.2974710294091	26.5118045209178	26.3834390481885	26.5043218420603	26.4298832715035	26.6071022555497	26.5687730512265	26.5158546481962	26.6454018295105	26.6017290834508	26.5784512419888
A0A0J9YYL3;A0A0J9YVP6;A0A0J9YXJ8;A0A0J9YXX5;Q9UHX1;A0A0J9YVR6;E9PQ56;A0A0J9YWM1;H0YEM1;E9PN18;E9PMU7	24.5913219116683	24.2963510875424	24.1976804455206	24.0959526128088	24.3786848655282	24.2521254524939	24.4497259900058	24.3297136858286	24.3448241419026	24.2784545628559	24.2155644000513	24.2300802620885	24.3227176231424	24.2553709497429	24.4109284912157	24.3021513660519	24.448529229223	24.4841915613335
