original_feature	cleaned_feature	is_ensembl	gene_symbol	diablo_label
ENSG00000196812	ENSG00000196812	TRUE	ZSCAN16	ZSCAN16
ENSG00000261839	ENSG00000261839	TRUE	NA	ENSG00000261839
ENSG00000198315	ENSG00000198315	TRUE	ZKSCAN8	ZKSCAN8
ENSG00000226314	ENSG00000226314	TRUE	ZKSCAN8P1	ZKSCAN8P1
ENSG00000176933	ENSG00000176933	TRUE	NA	ENSG00000176933
ENSG00000137185	ENSG00000137185	TRUE	ZSCAN9	ZSCAN9
ENSG00000187626	ENSG00000187626	TRUE	ZKSCAN4	ZKSCAN4
ENSG00000197062	ENSG00000197062	TRUE	ZSCAN26	ZSCAN26
ENSG00000137338	ENSG00000137338	TRUE	PGBD1	PGBD1
ENSG00000235109	ENSG00000235109	TRUE	ZSCAN31	ZSCAN31
ENSG00000189298	ENSG00000189298	TRUE	ZKSCAN3	ZKSCAN3
ENSG00000158691	ENSG00000158691	TRUE	ZSCAN12	ZSCAN12
ENSG00000187987	ENSG00000187987	TRUE	ZSCAN23	ZSCAN23
ENSG00000232040	ENSG00000232040	TRUE	SCAND3	SCAND3
ENSG00000265764	ENSG00000265764	TRUE	NA	ENSG00000265764
ENSG00000224157	ENSG00000224157	TRUE	HCG14	HCG14
ENSG00000204713	ENSG00000204713	TRUE	TRIM27	TRIM27
ENSG00000212240	ENSG00000212240	TRUE	RNU6-930P	RNU6-930P
ENSG00000263426	ENSG00000263426	TRUE	RN7SL471P	RN7SL471P
ENSG00000227214	ENSG00000227214	TRUE	HCG15	HCG15
ENSG00000244349	ENSG00000244349	TRUE	NA	ENSG00000244349
ENSG00000197935	ENSG00000197935	TRUE	ZNF311	ZNF311
ENSG00000204681	ENSG00000204681	TRUE	GABBR1	GABBR1
ENSG00000235238	ENSG00000235238	TRUE	NA	ENSG00000235238
ENSG00000204642	ENSG00000204642	TRUE	HLA-F	HLA-F
ENSG00000214922	ENSG00000214922	TRUE	HLA-F-AS1	HLA-F-AS1
ENSG00000273340	ENSG00000273340	TRUE	NA	ENSG00000273340
ENSG00000227758	ENSG00000227758	TRUE	NA	ENSG00000227758
ENSG00000235821	ENSG00000235821	TRUE	IFITM4P	IFITM4P
ENSG00000272236	ENSG00000272236	TRUE	NA	ENSG00000272236
ENSG00000181126	ENSG00000181126	TRUE	NA	ENSG00000181126
ENSG00000176998	ENSG00000176998	TRUE	NA	ENSG00000176998
ENSG00000204632	ENSG00000204632	TRUE	HLA-G	HLA-G
ENSG00000230521	ENSG00000230521	TRUE	NA	ENSG00000230521
ENSG00000206341	ENSG00000206341	TRUE	HLA-H	HLA-H
ENSG00000227262	ENSG00000227262	TRUE	NA	ENSG00000227262
ENSG00000230795	ENSG00000230795	TRUE	HLA-K	HLA-K
ENSG00000206503	ENSG00000206503	TRUE	HLA-A	HLA-A
ENSG00000235290	ENSG00000235290	TRUE	NA	ENSG00000235290
ENSG00000229390	ENSG00000229390	TRUE	NA	ENSG00000229390
ENSG00000204625	ENSG00000204625	TRUE	HCG9	HCG9
ENSG00000238024	ENSG00000238024	TRUE	NA	ENSG00000238024
ENSG00000204623	ENSG00000204623	TRUE	POLR1HASP	POLR1HASP
ENSG00000237669	ENSG00000237669	TRUE	NA	ENSG00000237669
ENSG00000204622	ENSG00000204622	TRUE	NA	ENSG00000204622
ENSG00000232757	ENSG00000232757	TRUE	NA	ENSG00000232757
ENSG00000066379	ENSG00000066379	TRUE	POLR1H	POLR1H
ENSG00000204619	ENSG00000204619	TRUE	PPP1R11	PPP1R11
ENSG00000204618	ENSG00000204618	TRUE	RNF39	RNF39
ENSG00000204616	ENSG00000204616	TRUE	TRIM31	TRIM31
ENSG00000231226	ENSG00000231226	TRUE	TRIM31-AS1	TRIM31-AS1
ENSG00000234127	ENSG00000234127	TRUE	TRIM26	TRIM26
ENSG00000233892	ENSG00000233892	TRUE	PAIP1P1	PAIP1P1
ENSG00000243753	ENSG00000243753	TRUE	NA	ENSG00000243753
ENSG00000231074	ENSG00000231074	TRUE	HCG18	HCG18
ENSG00000204599	ENSG00000204599	TRUE	TRIM39	TRIM39
ENSG00000241370	ENSG00000241370	TRUE	RPP21	RPP21
ENSG00000236603	ENSG00000236603	TRUE	NA	ENSG00000236603
ENSG00000204592	ENSG00000204592	TRUE	HLA-E	HLA-E
ENSG00000235781	ENSG00000235781	TRUE	LINC02569	LINC02569
ENSG00000204590	ENSG00000204590	TRUE	GNL1	GNL1
ENSG00000204576	ENSG00000204576	TRUE	PRR3	PRR3
ENSG00000204574	ENSG00000204574	TRUE	ABCF1	ABCF1
ENSG00000204569	ENSG00000204569	TRUE	PPP1R10	PPP1R10
ENSG00000222894	ENSG00000222894	TRUE	NA	ENSG00000222894
ENSG00000204568	ENSG00000204568	TRUE	MRPS18B	MRPS18B
ENSG00000137343	ENSG00000137343	TRUE	ATAT1	ATAT1
ENSG00000228415	ENSG00000228415	TRUE	NA	ENSG00000228415
ENSG00000204564	ENSG00000204564	TRUE	C6orf136	C6orf136
ENSG00000204560	ENSG00000204560	TRUE	DHX16	DHX16
ENSG00000146112	ENSG00000146112	TRUE	PPP1R18	PPP1R18
ENSG00000137404	ENSG00000137404	TRUE	NRM	NRM
ENSG00000230449	ENSG00000230449	TRUE	RPL7P4	RPL7P4
ENSG00000137337	ENSG00000137337	TRUE	MDC1	MDC1
ENSG00000196230	ENSG00000196230	TRUE	TUBB	TUBB
ENSG00000272540	ENSG00000272540	TRUE	NA	ENSG00000272540
ENSG00000137312	ENSG00000137312	TRUE	FLOT1	FLOT1
ENSG00000201988	ENSG00000201988	TRUE	NA	ENSG00000201988
ENSG00000272273	ENSG00000272273	TRUE	NA	ENSG00000272273
ENSG00000137331	ENSG00000137331	TRUE	IER3	IER3
ENSG00000228022	ENSG00000228022	TRUE	HCG20	HCG20
ENSG00000214894	ENSG00000214894	TRUE	LINC00243	LINC00243
ENSG00000204580	ENSG00000204580	TRUE	DDR1	DDR1
ENSG00000213780	ENSG00000213780	TRUE	GTF2H4	GTF2H4
ENSG00000137411	ENSG00000137411	TRUE	VARS2	VARS2
ENSG00000204540	ENSG00000204540	TRUE	PSORS1C1	PSORS1C1
ENSG00000204539	ENSG00000204539	TRUE	CDSN	CDSN
ENSG00000204538	ENSG00000204538	TRUE	PSORS1C2	PSORS1C2
ENSG00000204536	ENSG00000204536	TRUE	CCHCR1	CCHCR1
ENSG00000137310	ENSG00000137310	TRUE	TCF19	TCF19
ENSG00000204531	ENSG00000204531	TRUE	POU5F1	POU5F1
ENSG00000272501	ENSG00000272501	TRUE	NA	ENSG00000272501
ENSG00000206344	ENSG00000206344	TRUE	HCG27	HCG27
ENSG00000271821	ENSG00000271821	TRUE	NA	ENSG00000271821
ENSG00000204525	ENSG00000204525	TRUE	HLA-C	HLA-C
ENSG00000227939	ENSG00000227939	TRUE	RPL3P2	RPL3P2
ENSG00000234745	ENSG00000234745	TRUE	HLA-B	HLA-B
ENSG00000272221	ENSG00000272221	TRUE	MICA-AS1	MICA-AS1
ENSG00000206337	ENSG00000206337	TRUE	HCP5	HCP5
ENSG00000199332	ENSG00000199332	TRUE	NA	ENSG00000199332
ENSG00000204520	ENSG00000204520	TRUE	MICA	MICA
ENSG00000204516	ENSG00000204516	TRUE	MICB	MICB
ENSG00000204511	ENSG00000204511	TRUE	MCCD1	MCCD1
ENSG00000198563	ENSG00000198563	TRUE	DDX39B	DDX39B
ENSG00000201785	ENSG00000201785	TRUE	SNORD117	SNORD117
ENSG00000234006	ENSG00000234006	TRUE	DDX39B-AS1	DDX39B-AS1
ENSG00000213760	ENSG00000213760	TRUE	ATP6V1G2	ATP6V1G2
